"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"262","20046","CIPGOA_2","Cipla Limited Goa-2","Goa","rooftop","707.94","...","...","...","..."
"263","20047","CIPGOA_3","Cipla Goa -3","Goa","rooftop","496.26","...","...","...","..."
"264","20050","SSMC","Shyam Shah Medical College","Rewa","rooftop","1340.6","...","...","...","..."
"265","20051","MPUVNL","Sri Satya Sai University","Sehore","rooftop","82.55","...","...","...","..."
"266","20052","MPUVNL","Shri Vaishnav Vidyapeeth Vishwavidyalaya Indore","Indore","rooftop","148.5","...","...","...","..."
"267","20055","BMCS","Bundelkhand Medical College Sagar","Sagar","rooftop","499.12","...","...","...","..."
"268","20056","GRMC","Gajra Raja Medical College","Gwalior","rooftop","149.94","...","...","...","..."
"269","20057","GHRM","GH Raisoni University MPUVNL","Chhindwara","rooftop","85.8","...","...","...","..."
"270","20058","CLS","Cipla Limited Sikkim Unit 1","Kumrek","rooftop","439.18","...","...","...","..."
"271","20059","CLS","CIPLA Limited Sikkim Unit 2","Rorathang","ground","372.6","...","...","...","..."
"272","20060","CLSGC","Cipla Limited Sikkim Golden Cross","Pakyong","rooftop","286.005","...","...","...","..."
"273","20061","DLFK","Dlecta Foods Khopoli","Raigad","rooftop","231","...","...","...","..."
"274","20065","ROCA2","ROCA Bhiwadi (Phase-2)","Bhiwani","rooftop","386.1","...","...","...","..."
"275","20067","UTCL_RED","UTCL Reddipalayam","Redipallayam","ground","2067.2","...","...","...","..."
"276","20069","UTCL","UTCL Magdalla Cement Works","Surat","ground","1006.2","...","...","...","..."
"277","20070","ASU","Ashoka University","Sonipat","rooftop","425.1","...","...","...","..."
"278","20072","SEFM","Stanley Engineered Fastening- Manesar","Gurgaon","rooftop","91","...","...","...","..."
"279","20073","SEFB","Stanley Engineered Fastening- Bangalore","Bangalore","rooftop","175.5","...","...","...","..."
"280","20074","SEFO","Stanley Engineered Fastening- Oragadam","Sriperumbudur","rooftop","65","...","...","...","..."
"281","20075","PUB","Peoples University Bhopal","Bhopal","rooftop","801.99","...","...","...","..."
"282","20076","HSILAGI","HSIL Limited Bhongir","Bhuvanagiri","ground","2924.55","...","...","...","..."
"283","20077","ABBN1","ABB India Nashik Plant -1","Nashik","rooftop","654.43","...","...","...","..."
"284","20078","ABBN2","ABB India Nashik Plant -2","Nashik","rooftop","292.4","...","...","...","..."
